transaction_id|date|product_code|qty
532|2018-01-28|133|1.0
533|2018-01-29|133|1.0
534|2018-01-30|133|1.0
535|2018-01-31|133|1.0
536|2018-02-01|133|1.0
537|2018-02-02|133|1.0
538|2018-02-03|133|1.0
539|2018-02-04|133|1.0
540|2018-02-05|133|1.0
541|2018-02-06|133|1.0
542|2018-02-07|133|1.0
543|2018-02-08|133|1.0
544|2018-02-09|133|1.0
545|2018-02-10|133|1.0
546|2018-02-11|133|1.0
547|2018-02-12|133|1.0
548|2018-02-13|133|1.0
549|2018-02-14|133|1.0
550|2018-02-15|133|1.0
551|2018-02-16|133|1.0
552|2018-02-17|133|1.0
553|2018-02-18|133|1.0
554|2018-02-19|133|1.0
555|2018-02-20|133|1.0
556|2018-02-21|133|1.0
557|2018-02-22|133|1.0
558|2018-02-23|133|1.0
559|2018-02-24|133|1.0
560|2018-02-25|133|1.0
561|2018-02-26|133|1.0
562|2018-02-27|133|1.0
563|2018-02-28|133|1.0
564|2018-03-01|133|1.0
565|2018-03-02|133|1.0
566|2018-03-03|133|1.0
567|2018-03-04|133|1.0
568|2018-03-05|133|1.0
569|2018-03-06|133|1.0
570|2018-03-07|133|1.0
571|2018-03-08|133|1.0
572|2018-03-09|133|1.0
573|2018-03-10|133|1.0
574|2018-03-11|133|1.0
575|2018-03-12|133|1.0
576|2018-03-13|133|1.0
577|2018-03-14|133|1.0
578|2018-03-15|133|1.0
579|2018-03-16|133|1.0
580|2018-03-17|133|1.0
581|2018-03-18|133|1.0
582|2018-03-19|133|2.0
583|2018-03-20|133|2.0
584|2018-03-21|133|1.0
585|2018-03-22|133|1.0
586|2018-03-23|133|1.0
587|2018-03-24|133|1.0
588|2018-03-25|133|1.0
589|2018-03-26|133|1.0
590|2018-03-27|133|1.0
591|2018-03-28|133|1.0
592|2018-03-29|133|1.0
593|2018-03-30|133|1.0
594|2018-03-31|133|1.0
595|2018-04-01|133|1.0
596|2018-04-02|133|1.0
597|2018-04-03|133|1.0
598|2018-04-04|133|1.0
599|2018-04-05|133|2.0
600|2018-04-06|133|2.0
601|2018-04-07|133|1.0
602|2018-04-08|133|1.0
603|2018-04-09|133|1.0
604|2018-04-10|133|1.0
605|2018-04-11|133|1.0
606|2018-04-12|133|1.0
607|2018-04-13|133|1.0
608|2018-04-14|133|1.0
609|2018-04-15|133|1.0
610|2018-04-16|133|1.0
611|2018-04-17|133|1.0
612|2018-04-18|133|1.0
613|2018-04-19|133|1.0
614|2018-04-20|133|1.0
615|2018-04-21|133|1.0
616|2018-04-22|133|1.0
617|2018-04-23|133|2.0
618|2018-04-24|133|2.0
619|2018-04-25|133|2.0
620|2018-04-26|133|2.0
621|2018-04-27|133|2.0
622|2018-04-28|133|2.0
623|2018-04-29|133|2.0
624|2018-04-30|133|1.0
625|2018-05-01|133|1.0
626|2018-05-02|133|2.0
627|2018-05-03|133|3.0
628|2018-05-04|133|1.0
629|2018-05-05|133|1.0
630|2018-05-06|133|1.0
631|2018-05-07|133|1.0
632|2018-05-08|133|1.0
633|2018-05-09|133|1.0
634|2018-05-10|133|1.0
635|2018-05-11|133|1.0
636|2018-05-12|133|1.0
637|2018-05-13|133|1.0
638|2018-05-14|133|1.0
639|2018-05-15|133|1.0
640|2018-05-16|133|1.0
641|2018-05-17|133|1.0
642|2018-05-18|133|1.0
643|2018-05-19|133|1.0
644|2018-05-20|133|1.0
645|2018-05-21|133|1.0
646|2018-05-22|133|1.0
647|2018-05-23|133|1.0
648|2018-05-24|133|1.0
649|2018-05-25|133|1.0
650|2018-05-26|133|1.0
651|2018-05-27|133|1.0
652|2018-05-28|133|1.0
653|2018-05-29|133|1.0
654|2018-05-30|133|1.0
655|2018-05-31|133|1.0
656|2018-06-01|133|1.0
657|2018-06-02|133|1.0
658|2018-06-03|133|1.0
659|2018-06-04|133|1.0
660|2018-06-05|133|1.0
661|2018-06-06|133|1.0
662|2018-06-07|133|1.0
663|2018-06-08|133|1.0
664|2018-06-09|133|1.0
665|2018-06-10|133|1.0
666|2018-06-11|133|1.0
667|2018-06-12|133|1.0
668|2018-06-13|133|2.0
669|2018-06-14|133|2.0
670|2018-06-15|133|1.0
671|2018-06-16|133|1.0
672|2018-06-17|133|1.0
673|2018-06-18|133|1.0
674|2018-06-19|133|1.0
675|2018-06-20|133|1.0
676|2018-06-21|133|1.0
677|2018-06-22|133|1.0
678|2018-06-23|133|1.0
679|2018-06-24|133|1.0
680|2018-06-25|133|2.0
681|2018-06-26|133|2.0
682|2018-06-27|133|1.0
683|2018-06-28|133|1.0
684|2018-06-29|133|1.0
685|2018-06-30|133|1.0
686|2018-07-01|133|1.0
687|2018-07-02|133|1.0
688|2018-07-03|133|1.0
689|2018-07-04|133|1.0
690|2018-07-05|133|1.0
691|2018-07-06|133|1.0
692|2018-07-07|133|1.0
693|2018-07-08|133|1.0
694|2018-07-09|133|1.0
695|2018-07-10|133|1.0
696|2018-07-11|133|1.0
697|2018-07-12|133|1.0
698|2018-07-13|133|1.0
699|2018-07-14|133|1.0
700|2018-07-15|133|1.0
701|2018-07-16|133|1.0
702|2018-07-17|133|1.0
703|2018-07-18|133|1.0
704|2018-07-19|133|1.0
705|2018-07-20|133|1.0
706|2018-07-21|133|1.0
707|2018-07-22|133|1.0
708|2018-07-23|133|1.0
709|2018-07-24|133|1.0
710|2018-07-25|133|1.0
711|2018-07-26|133|1.0
712|2018-07-27|133|1.0
713|2018-07-28|133|1.0
714|2018-07-29|133|1.0
715|2018-07-30|133|1.0
716|2018-07-31|133|1.0
717|2018-08-01|133|1.0
718|2018-08-02|133|2.0
719|2018-08-03|133|2.0
720|2018-08-04|133|1.0
721|2018-08-05|133|1.0
722|2018-08-06|133|1.0
723|2018-08-07|133|1.0
724|2018-08-08|133|1.0
725|2018-08-09|133|2.0
726|2018-08-10|133|2.0
727|2018-08-11|133|2.0
728|2018-08-12|133|2.0
729|2018-08-13|133|2.0
730|2018-08-14|133|1.0
731|2018-08-15|133|1.0
732|2018-08-16|133|1.0
733|2018-08-17|133|1.0
734|2018-08-18|133|1.0
735|2018-08-19|133|1.0
736|2018-08-20|133|1.0
737|2018-08-21|133|1.0
738|2018-08-22|133|1.0
